ID,testScore
0,33
1,21
2,18
3,21
4,25
5,23
6,24
7,24
8,26
9,22
10,18
11,22
12,20
13,26
14,22
15,26
16,17
17,21
18,18
19,17
20,20
21,25
22,19
23,25
24,22
25,25
26,18
27,21
28,22
29,24
30,25
31,25
32,22
33,19
34,21
35,24
36,25
37,25
38,27
39,23
40,21
41,20
42,24
43,26
44,20
45,24
46,17
47,29
48,15
49,20
50,24
51,21
52,18
53,21
54,18
55,19
56,25
57,19
58,26
59,18
60,22
61,20
62,17
63,22
64,23
65,19
66,25
67,22
68,19
69,25
70,25
71,16
72,25
73,30
74,18
75,22
76,19
77,22
78,24
79,25
80,21
81,21
82,19
83,19
84,21
85,22
86,28
87,25
88,27
89,18
90,27
91,21
92,19
93,24
94,25
95,17
96,26
97,17
98,26
99,22
100,21
101,19
102,21
103,25
104,24
105,21
106,25
107,25
108,27
109,19
110,20
111,17
112,24
113,28
114,23
115,21
116,19
117,23
118,19
119,25
120,17
121,18
122,18
123,24
124,24
125,21
126,26
127,23
128,21
129,9
130,15
131,20
132,20
133,15
134,25
135,17
136,21
137,26
138,21
139,18
140,24
141,22
142,27
143,21
144,21
145,26
146,25
147,15
148,21
149,20
150,24
151,20
152,22
153,24
154,20
155,19
156,24
157,26
158,24
159,27
160,27
161,21
162,26
163,28
164,18
165,19
166,19
167,17
168,22
169,18
170,23
171,24
172,20
173,22
174,24
175,23
176,25
177,22
178,22
179,20
180,25
181,25
182,21
183,21
184,25
185,22
186,23
187,17
188,26
189,17
190,25
191,21
192,25
193,24
194,25
195,19
196,25
197,17
198,18
199,24
200,21
201,19
202,25
203,21
204,21
205,14
206,18
207,21
208,25
209,18
210,21
211,19
212,22
213,19
214,18
215,21
216,22
217,21
218,20
219,16
220,25
221,14
222,16
223,14
224,16
225,21
226,26
227,20
228,25
229,18
230,17
231,24
232,17
233,17
234,20
235,21
236,25
237,15
238,20
239,21
240,25
241,16
242,18
243,25
244,15
245,25
246,21
247,17
248,22
249,19
250,19
251,23
252,25
253,25
254,21
255,20
256,21
257,23
258,29
259,25
260,22
261,25
262,22
263,20
264,14
265,21
266,26
267,22
268,25
269,12
270,18
271,17
272,25
273,21
274,15
275,20
276,25
277,24
278,24
279,14
280,19
281,21
282,21
283,18
284,20
285,27
286,22
287,26
288,28
289,22
290,15
291,22
292,24
293,27
294,17
295,24
296,18
297,17
298,23
299,21
300,22
301,17
302,26
303,22
304,26
305,21
306,22
307,20
308,25
309,21
310,14
311,18
312,17
313,25
314,21
315,17
316,23
317,25
318,21
319,19
320,20
321,19
322,20
323,18
324,25
325,27
326,23
327,22
328,20
329,20
330,26
331,25
332,17
333,21
334,18
335,25
336,22
337,17
338,25
339,27
340,21
341,21
342,19
343,20
344,24
345,21
346,24
347,28
348,26
349,25
350,20
351,25
352,22
353,25
354,25
355,24
356,19
357,24
358,21
359,16
360,22
361,25
362,23
363,21
364,17
365,24
366,17
367,25
368,16
369,21
370,16
371,22
372,21
373,18
374,19
375,20
376,21
377,21
378,17
379,22
380,17
381,22
382,13
383,22
384,19
385,19
386,26
387,19
388,22
389,23
390,14
391,25
392,21
393,21
394,25
395,25
396,19
397,26
398,22
399,21
400,23
401,21
402,23
403,25
404,20
405,20
406,26
407,23
408,17
409,23
410,17
411,20
412,28
413,21
414,20
415,17
416,27
417,18
418,19
419,25
420,24
421,20
422,23
423,18
424,24
425,21
426,21
427,23
428,24
429,25
430,16
431,21
432,20
433,24
434,24
435,21
436,18
437,25
438,21
439,25
440,28
441,19
442,17
443,26
444,16
445,20
446,17
447,23
448,24
449,22
450,22
451,19
452,21
453,22
454,22
455,17
456,18
457,25
458,25
459,21
460,26
461,17
462,22
463,21
464,25
465,17
466,20
467,18
468,21
469,27
470,24
471,21
472,22
473,19
474,21
475,20
476,23
477,25
478,19
479,24
480,23
481,23
482,18
483,23
484,21
485,19
486,18
487,22
488,23
489,25
490,17
491,22
492,23
493,23
494,21
495,20
496,26
497,21
498,24
499,16
500,24
501,22
502,28
503,20
504,18
505,25
506,21
507,21
508,18
509,15
510,21
511,20
512,18
513,21
514,20
515,17
516,25
517,26
518,18
519,22
520,14
521,23
522,17
523,18
524,20
525,21
526,24
527,21
528,20
529,25
530,16
531,25
532,20
533,25
534,22
535,18
536,29
537,24
538,27
539,24
540,20
541,21
542,26
543,25
544,21
545,21
546,17
547,15
548,26
549,18
550,22
551,22
552,18
553,23
554,22
555,18
556,22
557,25
558,25
559,21
560,24
561,20
562,25
563,20
564,25
565,17
566,21
567,17
568,28
569,25
570,21
571,17
572,22
573,25
574,18
575,27
576,22
577,27
578,20
579,14
580,17
581,23
582,25
583,22
584,18
585,18
586,25
587,22
588,20
589,14
590,23
591,22
592,22
593,25
594,21
595,27
596,20
597,22
598,26
599,22
600,26
601,25
602,17
603,17
604,18
605,21
606,20
607,24
608,25
609,28
610,22
611,25
612,18
613,22
614,17
615,16
616,16
617,22
618,22
619,26
620,17
621,21
622,21
623,20
624,20
625,20
626,25
627,26
628,25
629,21
630,23
631,18
632,22
633,28
634,24
635,25
636,20
637,25
638,18
639,28
640,23
641,24
642,23
643,21
644,20
645,25
646,28
647,24
648,17
649,22
650,25
651,21
652,28
653,24
654,22
655,22
656,20
657,21
658,18
659,25
660,25
661,26
662,22
663,20
664,24
665,18
666,20
667,18
668,18
669,23
670,22
671,22
672,24
673,25
674,22
675,20
676,18
677,25
678,16
679,18
680,30
681,25
682,23
683,25
684,17
685,20
686,18
687,19
688,21
689,23
690,28
691,24
692,27
693,23
694,24
695,23
696,21
697,13
698,26
699,19
700,23
701,19
702,26
703,18
704,22
705,26
706,23
707,18
708,21
709,19
710,16
711,21
712,23
713,22
714,22
715,21
716,19
717,21
718,17
719,25
720,22
721,22
722,25
723,21
724,21
725,21
726,18
727,13
728,22
729,21
730,26
731,21
732,24
733,22
734,17
735,20
736,19
737,16
738,18
739,21
740,21
741,20
742,22
743,23
744,21
745,16
746,22
747,22
748,22
749,24
750,24
751,21
752,19
753,20
754,19
755,25
756,17
757,21
758,20
759,24
760,25
761,25
762,24
763,22
764,22
765,19
766,23
767,21
768,24
769,16
770,25
771,19
772,18
773,20
774,25
775,19
776,25
777,19
778,19
779,25
780,26
781,25
782,24
783,21
784,21
785,20
786,14
787,22
788,21
789,24
790,25
791,22
792,21
793,22
794,20
795,17
796,19
797,20
798,23
799,21
800,23
801,25
802,20
803,24
804,20
805,21
806,19
807,22
808,25
809,16
810,21
811,23
812,20
813,23
814,21
815,22
816,25
817,18
818,27
819,17
820,21
821,21
822,29
823,21
824,22
825,28
826,24
827,17
828,25
829,26
830,23
831,21
832,25
833,22
834,18
835,16
836,14
837,26
838,25
839,26
840,18
841,20
842,17
843,25
844,22
845,24
846,19
847,26
848,21
849,21
850,24
851,22
852,25
853,22
854,24
855,26
856,22
857,21
858,24
859,18
860,24
861,25
862,21
863,18
864,16
865,24
866,21
867,26
868,20
869,28
870,21
871,21
872,17
873,28
874,21
875,21
876,18
877,16
878,23
879,18
880,19
881,21
882,22
883,25
884,22
885,22
886,26
887,25
888,22
889,20
890,13
891,21
892,30
893,25
894,18
895,26
896,19
897,25
898,18
899,21
900,21
901,23
902,21
903,18
904,27
905,16
906,20
907,26
908,18
909,15
910,22
911,28
912,22
913,20
914,26
915,26
916,25
917,23
918,21
919,22
920,21
921,23
922,21
923,20
924,21
925,19
926,24
927,17
928,21
929,11
930,25
931,26
932,21
933,19
934,25
935,21
936,17
937,25
938,19
939,20
940,24
941,24
942,11
943,19
944,27
945,27
946,23
947,18
948,23
949,22
950,16
951,27
952,24
953,21
954,17
955,21
956,25
957,20
958,25
959,22
960,18
961,18
962,20
963,26
964,21
965,17
966,23
967,21
968,25
969,23
970,25
971,21
972,21
973,26
974,20
975,21
976,17
977,21
978,21
979,18
980,21
981,22
982,21
983,18
984,28
985,16
986,18
987,21
988,22
989,23
990,21
991,21
992,25
993,21
994,16
995,25
996,22
997,17
998,22
999,26
1000,16
1001,22
1002,23
1003,23
1004,25
1005,17
1006,18
1007,21
1008,15
1009,23
1010,18
1011,16
1012,22
1013,23
1014,22
1015,21
1016,27
1017,26
1018,21
1019,27
1020,19
1021,16
1022,22
1023,22
1024,25
1025,15
1026,26
1027,21
1028,17
1029,17
1030,27
1031,15
1032,19
1033,20
1034,24
1035,21
1036,17
1037,25
1038,18
1039,23
1040,20
1041,17
1042,22
1043,23
1044,16
1045,20
1046,17
1047,20
1048,24
1049,22
1050,19
1051,23
1052,24
1053,22
1054,25
1055,18
1056,24
1057,16
1058,24
1059,21
1060,21
1061,22
1062,19
1063,26
1064,17
1065,21
1066,16
1067,16
1068,18
